Maine December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195404,4.19,0.84
195405,5.34,1.95
195406,5.87,2.13
195407,4.22,0.43
195408,5.65,2.14
195409,8.24,4.55
195410,5.04,1.34
195411,4.04,0.15
195412,5.46,1.93
195501,1.91,-1.39
195502,5.29,2.51
195503,4.50,1.18
195504,2.05,-1.30
195505,3.29,-0.10
195506,3.01,-0.73
195507,2.45,-1.34
195508,4.79,1.28
195509,1.83,-1.86
195510,2.53,-1.17
195511,3.34,-0.55
195512,1.28,-2.25
195601,4.66,1.36
195602,2.57,-0.21
195603,3.60,0.28
195604,3.26,-0.09
195605,3.15,-0.24
195606,2.80,-0.94
195607,3.84,0.05
195608,3.12,-0.39
195609,3.50,-0.19
195610,2.84,-0.86
195611,3.11,-0.78
195612,2.97,-0.56
195701,2.07,-1.23
195702,1.66,-1.12
195703,2.05,-1.27
195704,2.44,-0.91
195705,2.52,-0.87
195706,3.34,-0.40
195707,3.77,-0.02
195708,2.03,-1.48
195709,2.97,-0.72
195710,2.14,-1.56
195711,5.32,1.43
195712,5.63,2.10
195801,6.54,3.24
195802,3.08,0.30
195803,2.88,-0.44
195804,4.11,0.76
195805,2.83,-0.56
195806,3.19,-0.55
195807,5.18,1.39
195808,4.48,0.97
195809,3.01,-0.68
195810,4.86,1.16
195811,3.70,-0.19
195812,1.62,-1.91
195901,3.48,0.18
195902,2.18,-0.60
195903,3.87,0.55
195904,2.44,-0.91
195905,1.28,-2.11
195906,6.48,2.74
195907,2.51,-1.28
195908,4.73,1.22
195909,2.57,-1.12
195910,6.15,2.45
195911,6.57,2.68
195912,3.59,0.06
196001,3.42,0.12
196002,5.56,2.78
196003,2.36,-0.96
196004,3.23,-0.12
196005,4.32,0.93
196006,3.87,0.13
196007,4.06,0.27
196008,1.71,-1.80
196009,3.72,0.03
196010,3.94,0.24
196011,3.41,-0.48
196012,4.36,0.83
196101,2.24,-1.06
196102,3.17,0.39
196103,2.86,-0.46
196104,4.68,1.33
196105,5.03,1.64
196106,3.56,-0.18
196107,3.65,-0.14
196108,2.72,-0.79
196109,4.47,0.78
196110,2.72,-0.98
196111,4.45,0.56
196112,3.34,-0.19
196201,2.58,-0.72
196202,1.88,-0.90
196203,1.49,-1.83
196204,4.18,0.83
196205,2.41,-0.98
196206,2.64,-1.10
196207,5.03,1.24
196208,4.30,0.79
196209,3.49,-0.20
196210,4.93,1.23
196211,5.39,1.50
196212,4.67,1.14
196301,2.94,-0.36
196302,2.97,0.19
196303,2.82,-0.50
196304,2.67,-0.68
196305,3.34,-0.05
196306,1.42,-2.32
196307,3.78,-0.01
196308,5.78,2.27
196309,3.20,-0.49
196310,3.19,-0.51
196311,8.55,4.66
196312,1.80,-1.73
196401,3.48,0.18
196402,1.34,-1.44
196403,2.95,-0.37
196404,2.95,-0.40
196405,2.29,-1.10
196406,2.24,-1.50
196407,4.47,0.68
196408,3.45,-0.06
196409,1.73,-1.96
196410,3.44,-0.26
196411,3.17,-0.72
196412,3.82,0.29
196501,1.64,-1.66
196502,3.56,0.78
196503,0.56,-2.76
196504,2.31,-1.04
196505,1.75,-1.64
196506,2.03,-1.71
196507,2.51,-1.28
196508,3.97,0.46
196509,3.22,-0.47
196510,3.88,0.18
196511,4.58,0.69
196512,1.93,-1.60
196601,3.48,0.18
196602,2.34,-0.44
196603,3.38,0.06
196604,0.83,-2.52
196605,2.50,-0.89
196606,2.98,-0.76
196607,3.82,0.03
196608,2.89,-0.62
196609,3.58,-0.11
196610,3.75,0.05
196611,5.48,1.59
196612,3.01,-0.52
196701,2.18,-1.12
196702,2.78,0.00
196703,1.16,-2.16
196704,2.07,-1.28
196705,4.60,1.21
196706,4.29,0.55
196707,3.91,0.12
196708,3.99,0.48
196709,5.53,1.84
196710,2.73,-0.97
196711,3.32,-0.57
196712,4.81,1.28
196801,2.66,-0.64
196802,1.61,-1.17
196803,3.57,0.25
196804,2.84,-0.51
196805,2.94,-0.45
196806,3.77,0.03
196807,2.17,-1.62
196808,2.03,-1.48
196809,1.93,-1.76
196810,3.08,-0.62
196811,5.55,1.66
196812,5.45,1.92
