Washington December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
196807,0.67,-0.23
196808,3.23,2.21
196809,2.44,0.49
196810,5.00,1.34
196811,6.33,0.22
196812,8.12,1.65
196901,7.57,1.51
196902,3.51,-1.23
196903,2.43,-1.72
196904,3.74,0.91
196905,2.14,-0.11
196906,1.58,-0.31
196907,0.49,-0.41
196908,0.39,-0.63
196909,3.88,1.93
196910,2.28,-1.38
196911,2.74,-3.37
196912,6.48,0.01
197001,9.19,3.13
197002,3.24,-1.50
197003,2.84,-1.31
197004,4.03,1.20
197005,1.18,-1.07
197006,0.96,-0.93
197007,0.70,-0.20
197008,0.26,-0.76
197009,2.45,0.50
197010,3.37,-0.29
197011,5.81,-0.30
197012,8.21,1.74
197101,9.09,3.03
197102,4.17,-0.57
197103,7.10,2.95
197104,2.32,-0.51
197105,2.04,-0.21
197106,2.57,0.68
197107,0.80,-0.10
197108,0.74,-0.28
197109,2.97,1.02
197110,3.33,-0.33
197111,5.75,-0.36
197112,7.97,1.50
197201,7.72,1.66
197202,7.30,2.56
197203,6.58,2.43
197204,4.08,1.25
197205,2.03,-0.22
197206,2.20,0.31
197207,1.53,0.63
197208,1.24,0.22
197209,3.39,1.44
197210,0.94,-2.72
197211,4.12,-1.99
197212,8.81,2.34
197301,4.88,-1.18
197302,1.88,-2.86
197303,2.70,-1.45
197304,1.35,-1.48
197305,2.08,-0.17
197306,1.83,-0.06
197307,0.17,-0.73
197308,0.37,-0.65
197309,2.45,0.50
197310,4.09,0.43
197311,9.91,3.80
197312,9.71,3.24
197401,9.92,3.86
197402,5.59,0.85
197403,6.12,1.97
197404,3.68,0.85
197405,2.70,0.45
197406,1.40,-0.49
197407,1.98,1.08
197408,0.24,-0.78
197409,0.51,-1.44
197410,1.00,-2.66
197411,6.21,0.10
197412,7.94,1.47
197501,7.98,1.92
197502,5.49,0.75
197503,4.07,-0.08
197504,2.27,-0.56
197505,2.11,-0.14
197506,1.46,-0.43
197507,0.84,-0.06
197508,3.17,2.15
197509,0.10,-1.85
197510,7.33,3.67
197511,7.01,0.90
197512,9.09,2.62
197601,6.71,0.65
197602,5.54,0.80
197603,4.11,-0.04
197604,2.50,-0.33
197605,2.01,-0.24
197606,1.39,-0.50
197607,1.03,0.13
197608,2.94,1.92
197609,0.81,-1.14
197610,1.78,-1.88
197611,1.61,-4.50
197612,2.75,-3.72
197701,1.96,-4.10
197702,2.93,-1.81
197703,4.98,0.83
197704,1.19,-1.64
197705,3.31,1.06
197706,1.12,-0.77
197707,0.67,-0.23
197708,2.70,1.68
197709,3.16,1.21
197710,2.60,-1.06
197711,7.33,1.22
197712,9.61,3.14
197801,4.89,-1.17
197802,3.66,-1.08
197803,2.98,-1.17
197804,3.76,0.93
197805,2.78,0.53
197806,1.28,-0.61
197807,1.49,0.59
197808,2.42,1.40
197809,3.88,1.93
197810,0.85,-2.81
197811,4.40,-1.71
197812,3.60,-2.87
197901,2.23,-3.83
197902,7.22,2.48
197903,2.56,-1.59
197904,2.64,-0.19
197905,1.68,-0.57
197906,0.94,-0.95
197907,1.10,0.20
197908,1.34,0.32
197909,2.03,0.08
197910,4.39,0.73
197911,2.69,-3.42
197912,9.38,2.91
198001,5.34,-0.72
198002,5.83,1.09
198003,3.77,-0.38
198004,3.14,0.31
198005,2.61,0.36
198006,2.35,0.46
198007,0.74,-0.16
198008,1.11,0.09
198009,2.51,0.56
198010,1.31,-2.35
198011,7.54,1.43
198012,8.49,2.02
198101,2.17,-3.89
198102,6.05,1.31
198103,2.85,-1.30
